Run,Date,AGPE130.water,AGHY129.water ,AGHY140.control,AGPE141.control
1,3/3/2016 11:00,0.2204,0.2313,0.1804,0.2051
2,3/3/2016 17:00,0.2182,0.2262,0.1688,0.1906
3,3/3/2016 23:00,0.2218,0.2218,0.1659,0.1862
4,3/4/2016 5:00,0.2233,0.2196,0.1652,0.1855
5,3/4/2016 11:00,0.2225,0.2284,0.1724,0.1928
6,3/4/2016 17:00,0.216,0.2211,0.163,0.1848
7,3/4/2016 23:00,0.2196,0.2189,0.1623,0.1819
8,3/5/2016 5:00,0.2211,0.2167,0.1623,0.1811
9,3/5/2016 11:00,0.2204,0.2313,0.1702,0.1899
10,3/5/2016 17:00,0.2146,0.2211,0.1608,0.1819
11,3/5/2016 23:00,0.2182,0.2175,0.1579,0.1782
12,3/6/2016 5:00,0.2196,0.2153,0.1579,0.1775
13,3/6/2016 11:00,0.2167,0.224,0.1659,0.1862
14,3/6/2016 17:00,0.2087,0.2182,0.1557,0.1768
15,3/6/2016 23:00,0.2153,0.216,0.1543,0.1753
16,3/7/2016 5:00,0.2131,0.216,0.1557,0.1768
17,3/7/2016 11:00,0.2116,0.2298,0.1586,0.1797
18,3/7/2016 17:00,0.2102,0.2218,0.1528,0.1761
19,3/7/2016 23:00,0.2138,0.2182,0.1521,0.1746
20,3/8/2016 5:00,0.2138,0.2175,0.1543,0.1768
21,3/8/2016 11:00,0.2095,0.2298,0.1557,0.179
22,3/8/2016 17:00,0.2313,0.2487,0.1964,0.2313
23,3/8/2016 23:00,0.2443,0.2567,0.2204,0.2647
24,3/9/2016 5:00,0.2334,0.2472,0.2051,0.2458
25,3/9/2016 11:00,0.2494,0.2574,0.2334,0.2668
26,3/9/2016 17:00,0.2581,0.2654,0.2581,0.2712
27,3/9/2016 23:00,0.277,0.2712,0.2828,0.2799
28,3/10/2016 5:00,0.2814,0.2734,0.2857,0.2836
29,3/10/2016 11:00,0.2734,0.2763,0.2923,0.2915
30,3/10/2016 17:00,0.2516,0.2574,0.2487,0.2705
31,3/10/2016 23:00,0.2494,0.253,0.2378,0.2618
32,3/11/2016 5:00,0.2545,0.2574,0.2392,0.2625
33,3/11/2016 11:00,0.2429,0.2574,0.2334,0.2589
34,3/11/2016 17:00,0.2385,0.248,0.2254,0.2538
35,3/11/2016 23:00,0.2378,0.2451,0.2211,0.2487
36,3/12/2016 5:00,0.2385,0.2429,0.2196,0.248
37,3/12/2016 11:00,0.2596,0.2676,0.261,0.2741
38,3/12/2016 17:00,0.2414,0.2523,0.2313,0.2574
39,3/12/2016 23:00,0.24,0.2458,0.2233,0.2501
40,3/13/2016 5:00,0.2385,0.2429,0.2189,0.2465
41,3/13/2016 11:00,0.2363,0.2501,0.224,0.2501
42,3/13/2016 17:00,0.2305,0.2392,0.2153,0.2414
43,3/13/2016 23:00,0.232,0.2363,0.2102,0.2371
44,3/14/2016 5:00,0.232,0.2342,0.2087,0.2349
45,3/14/2016 11:00,0.2313,0.2443,0.2146,0.2407
46,3/14/2016 17:00,0.224,0.2313,0.2044,0.2305
47,3/14/2016 23:00,0.2254,0.2298,0.2022,0.2276
48,3/15/2016 5:00,0.2254,0.2291,0.2022,0.2276
49,3/15/2016 11:00,0.2247,0.2378,0.2073,0.2327
50,3/15/2016 17:00,0.2189,0.2284,0.1993,0.2247
51,3/15/2016 23:00,0.2218,0.2247,0.1978,0.2204
52,3/16/2016 5:00,0.2233,0.2233,0.1942,0.2182
53,3/16/2016 11:00,0.2233,0.2305,0.2008,0.2247
54,3/16/2016 17:00,0.2167,0.2225,0.1928,0.2167
55,3/16/2016 23:00,0.2182,0.2218,0.1913,0.2138
56,3/17/2016 5:00,0.2189,0.2218,0.192,0.2138
57,3/17/2016 11:00,0.2182,0.2313,0.1971,0.2204
58,3/17/2016 17:00,0.2153,0.2233,0.1899,0.2131
59,3/17/2016 23:00,0.2175,0.2218,0.1891,0.2109
60,3/18/2016 5:00,0.2175,0.2211,0.1884,0.2109
61,3/18/2016 11:00,0.2182,0.2291,0.1913,0.2146
62,3/18/2016 17:00,0.2116,0.2247,0.1899,0.2124
63,3/18/2016 23:00,0.2153,0.2218,0.187,0.2087
64,3/19/2016 5:00,0.216,0.2189,0.1848,0.2073
65,3/19/2016 11:00,0.2182,0.2254,0.1862,0.2087
66,3/19/2016 17:00,0.2131,0.2175,0.1804,0.2022
67,3/19/2016 23:00,0.2175,0.2153,0.1775,0.1978
68,3/20/2016 5:00,0.2189,0.2138,0.1768,0.1964
69,3/20/2016 11:00,0.2175,0.224,0.1826,0.2015
70,3/20/2016 17:00,0.2116,0.2153,0.1739,0.1928
71,3/20/2016 23:00,0.2167,0.2124,0.171,0.1891
72,3/21/2016 5:00,0.2175,0.2109,0.1717,0.1884
73,3/21/2016 11:00,0.2153,0.2305,0.1797,0.1964
74,3/21/2016 17:00,0.208,0.2182,0.1717,0.1891
75,3/21/2016 23:00,0.2124,0.2146,0.1688,0.1848
76,3/22/2016 5:00,0.2131,0.2124,0.1688,0.184
77,3/22/2016 11:00,0.2109,0.2291,0.1761,0.192
78,3/22/2016 17:00,0.2044,0.2175,0.1652,0.1833
79,3/22/2016 23:00,0.208,0.2146,0.1652,0.1811
80,3/23/2016 5:00,0.208,0.2138,0.1666,0.1819
81,3/23/2016 11:00,0.2087,0.224,0.1681,0.1855
82,3/23/2016 17:00,0.2044,0.2167,0.163,0.1804
83,3/23/2016 23:00,0.2073,0.2146,0.1637,0.1797
84,3/24/2016 5:00,0.248,0.2632,0.2298,0.2654
85,3/24/2016 11:00,0.2254,0.2451,0.2044,0.2422
86,3/24/2016 17:00,0.2182,0.2334,0.1913,0.2269
87,3/24/2016 23:00,0.2218,0.2276,0.187,0.2182
88,3/25/2016 5:00,0.2218,0.2247,0.1855,0.2138
89,3/25/2016 11:00,0.224,0.2327,0.1913,0.2204
90,3/25/2016 17:00,0.2131,0.2247,0.1826,0.2109
91,3/25/2016 23:00,0.2182,0.2218,0.1797,0.2051
92,3/26/2016 5:00,0.2196,0.2196,0.179,0.2037
93,3/26/2016 11:00,0.2204,0.2291,0.187,0.2102
94,3/26/2016 17:00,0.2146,0.2211,0.1768,0.2008
95,3/26/2016 23:00,0.2175,0.2189,0.1746,0.1964
96,3/27/2016 5:00,0.2189,0.2175,0.1753,0.1964
97,3/27/2016 11:00,0.2211,0.2291,0.1826,0.2029
98,3/27/2016 17:00,0.2167,0.2196,0.1724,0.1935
99,3/27/2016 23:00,0.2196,0.2167,0.1688,0.1884
100,3/28/2016 5:00,0.2211,0.2138,0.1681,0.1862
101,3/28/2016 11:00,0.2218,0.2269,0.1746,0.1928
102,3/28/2016 17:00,0.2131,0.2167,0.163,0.1826
103,3/28/2016 23:00,0.216,0.2138,0.1615,0.1768
104,3/29/2016 5:00,0.2175,0.2124,0.1615,0.1782
105,3/29/2016 11:00,0.2211,0.2276,0.1652,0.1819
106,3/29/2016 17:00,0.2116,0.2204,0.1615,0.1797
107,3/29/2016 23:00,0.2153,0.2182,0.1623,0.1797
108,3/30/2016 5:00,0.2138,0.2175,0.163,0.1804
109,3/30/2016 11:00,0.2175,0.232,0.1666,0.1826
110,3/30/2016 17:00,0.2131,0.2298,0.1717,0.1891
111,3/30/2016 23:00,0.2189,0.2254,0.1688,0.187
112,3/31/2016 5:00,0.2189,0.2233,0.1688,0.187
113,3/31/2016 11:00,0.2196,0.2349,0.1732,0.1906
114,3/31/2016 17:00,0.2146,0.2233,0.1608,0.179
115,3/31/2016 23:00,0.2175,0.2189,0.1564,0.1732
116,4/1/2016 5:00,0.2196,0.216,0.1557,0.1717
117,4/1/2016 11:00,0.2204,0.2313,0.1615,0.1797
118,4/1/2016 17:00,0.2211,0.2269,0.1637,0.179
119,4/1/2016 23:00,0.2233,0.2218,0.1608,0.1797
120,4/2/2016 5:00,0.224,0.2182,0.1594,0.1775
121,4/2/2016 11:00,0.2247,0.2313,0.1666,0.1833
122,4/2/2016 17:00,0.2146,0.2182,0.1506,0.1717
123,4/2/2016 23:00,0.2182,0.2146,0.147,0.1637
124,4/3/2016 5:00,0.2196,0.2124,0.1456,0.1615
125,4/3/2016 11:00,0.2204,0.2313,0.1535,0.1681
126,4/3/2016 17:00,0.208,0.216,0.1347,0.1543
127,4/3/2016 23:00,0.2131,0.2116,0.1332,0.1485
128,4/4/2016 5:00,0.2138,0.2102,0.1332,0.1477
129,4/4/2016 11:00,0.2131,0.2262,0.1383,0.1528
130,4/4/2016 17:00,0.2029,0.2116,0.1165,0.1376
131,4/4/2016 23:00,0.2058,0.2095,0.1143,0.1325
132,4/5/2016 5:00,0.2087,0.2073,0.115,0.1318
133,4/5/2016 11:00,0.208,0.2182,0.1172,0.1347
134,4/5/2016 17:00,0.1993,0.2066,0.0933,0.1194
135,4/5/2016 23:00,0.2022,0.2051,0.0918,0.1165
136,4/6/2016 5:00,0.2029,0.2044,0.0933,0.1165
137,4/6/2016 11:00,0.2015,0.2066,0.094,0.118
138,4/6/2016 17:00,0.1877,0.1978,0.0751,0.1049
139,4/6/2016 23:00,0.1891,0.1949,0.0729,0.1012
140,4/7/2016 5:00,0.1935,0.1942,0.0729,0.1005
141,4/7/2016 11:00,0.1877,0.1986,0.0751,0.102
142,4/7/2016 17:00,0.1637,0.187,0.0562,0.0889
143,4/7/2016 23:00,0.1659,0.184,0.0526,0.0867
144,4/8/2016 5:00,0.1732,0.184,0.0519,0.086
145,4/8/2016 11:00,0.1659,0.1862,0.0569,0.0867
146,4/8/2016 17:00,0.1448,0.1717,0.0431,0.0766
