Run,Date,ELVI250.water,ELVI260.control,ELVI259.control,ELVI251.water
1,11/5/2014 15:00,-0.1319,-0.1225,-0.1087,-0.1123
2,11/5/2014 21:00,-0.121,-0.121,-0.1007,-0.1087
3,11/6/2014 3:00,-0.121,-0.121,-0.1007,-0.1087
4,11/6/2014 9:00,-0.1036,-0.1145,-0.0956,-0.1312
5,11/6/2014 15:00,0.2008,0.2305,0.2632,0.2284
6,11/6/2014 21:00,0.2008,0.2291,0.2211,0.2407
7,11/7/2014 3:00,0.1993,0.2276,0.2175,0.2342
8,11/7/2014 9:00,0.1986,0.2276,0.2247,0.2349
9,11/7/2014 15:00,0.1971,0.2298,0.2225,0.2327
10,11/7/2014 21:00,0.1957,0.2254,0.2131,0.224
11,11/8/2014 3:00,0.1942,0.2233,0.2116,0.2218
12,11/8/2014 9:00,0.1949,0.2247,0.2254,0.2284
13,11/8/2014 15:00,0.1949,0.2276,0.2233,0.2269
14,11/8/2014 21:00,0.1928,0.2225,0.2131,0.2189
15,11/9/2014 3:00,0.1913,0.2211,0.2102,0.2167
16,11/9/2014 9:00,0.1928,0.2225,0.2254,0.224
17,11/9/2014 15:00,0.192,0.2254,0.2225,0.224
18,11/9/2014 21:00,0.1906,0.2204,0.2124,0.2153
19,11/10/2014 3:00,0.1891,0.2182,0.2102,0.2131
20,11/10/2014 9:00,0.1891,0.2211,0.2262,0.2247
21,11/10/2014 15:00,0.1906,0.2233,0.2218,0.2218
22,11/10/2014 21:00,0.1884,0.2196,0.2146,0.216
23,11/11/2014 3:00,0.1891,0.2196,0.2131,0.2146
24,11/11/2014 9:00,0.1891,0.2196,0.2247,0.2233
25,11/11/2014 15:00,0.1877,0.2196,0.2189,0.2182
26,11/11/2014 21:00,0.1862,0.2153,0.2116,0.2116
27,11/12/2014 3:00,0.1848,0.2138,0.2095,0.2102
28,11/12/2014 9:00,0.1855,0.2146,0.2204,0.2167
29,11/12/2014 15:00,0.184,0.2153,0.2167,0.2146
30,11/12/2014 21:00,0.1826,0.2116,0.2102,0.2095
31,11/13/2014 3:00,0.1819,0.2102,0.2073,0.2073
32,11/13/2014 9:00,0.1819,0.2095,0.2182,0.2102
33,11/13/2014 15:00,0.179,0.2102,0.2138,0.2095
34,11/13/2014 21:00,0.1761,0.2058,0.2058,0.2058
35,11/14/2014 3:00,0.1761,0.2051,0.2037,0.2037
36,11/14/2014 9:00,0.1782,0.2066,0.2204,0.2131
37,11/14/2014 15:00,0.1768,0.208,0.2146,0.2109
38,11/14/2014 21:00,0.1761,0.2058,0.2095,0.208
39,11/15/2014 3:00,0.1761,0.2058,0.2073,0.2066
40,11/15/2014 9:00,0.1768,0.2058,0.2138,0.2153
41,11/15/2014 15:00,0.1753,0.2066,0.2109,0.2109
42,11/15/2014 21:00,0.1761,0.2066,0.2087,0.2087
43,11/16/2014 3:00,0.2349,0.2472,0.2429,0.248
44,11/16/2014 9:00,0.2218,0.2378,0.224,0.2371
45,11/16/2014 15:00,0.2189,0.2356,0.2182,0.2313
46,11/16/2014 21:00,0.216,0.2342,0.216,0.2284
47,11/17/2014 3:00,0.2124,0.232,0.2131,0.224
48,11/17/2014 9:00,0.2116,0.2327,0.2196,0.2247
49,11/17/2014 15:00,0.2116,0.2327,0.2167,0.2233
50,11/17/2014 21:00,0.2066,0.2284,0.208,0.2167
51,11/18/2014 3:00,0.2051,0.2276,0.208,0.2153
52,11/18/2014 9:00,0.2066,0.2276,0.2095,0.2138
53,11/18/2014 15:00,0.2066,0.2291,0.2109,0.2153
54,11/18/2014 21:00,0.2022,0.2254,0.2037,0.2102
55,11/19/2014 3:00,0.2015,0.2233,0.2022,0.2087
56,11/19/2014 9:00,0.2037,0.2254,0.2051,0.2102
