"Plot Title: LOMULOAR"
"#","Date Time, GMT-05:00","Water Content, m³/m³","Water Content, m³/m³","Water Content, m³/m³","Water Content, m³/m³"
1,03/24/15 12:45:03 PM,-0.2837,0.2327,-0.3418,-0.0121
2,03/24/15 04:45:03 PM,-0.1936,0.2240,-0.2176,0.1920
3,03/24/15 08:45:03 PM,-0.4006,0.2182,-0.2314,0.1840
4,03/25/15 12:45:03 AM,-0.3302,0.2160,-0.2496,0.1840
5,03/25/15 04:45:03 AM,-0.3077,0.2146,-0.1813,0.1833
6,03/25/15 08:45:03 AM,-0.3019,0.2363,-0.2358,0.1833
7,03/25/15 12:45:03 PM,-0.3157,0.2291,-0.2031,0.1877
8,03/25/15 04:45:03 PM,-0.1871,0.2189,-0.1232,0.1862
9,03/25/15 08:45:03 PM,-0.4006,0.2116,-0.3033,0.1775
10,03/26/15 12:45:03 AM,-0.3876,0.2102,-0.2663,0.1768
11,03/26/15 04:45:03 AM,-0.3585,0.2087,-0.2612,0.1768
12,03/26/15 08:45:03 AM,-0.3200,0.2211,-0.2031,0.1775
13,03/26/15 12:45:03 PM,-0.3512,0.2175,-0.2931,0.1768
14,03/26/15 04:45:03 PM,-0.3948,0.2146,-0.2525,0.1768
15,03/26/15 08:45:03 PM,-0.3905,0.2109,-0.2975,0.1739
16,03/27/15 12:45:03 AM,-0.3716,0.2087,-0.2735,0.1732
17,03/27/15 04:45:03 AM,-0.3876,0.2066,-0.2743,0.1717
18,03/27/15 08:45:03 AM,-0.4006,0.2291,-0.2132,0.1717
19,03/27/15 12:45:03 PM,-0.3876,0.2225,-0.3048,0.1775
20,03/27/15 04:45:03 PM,-0.2793,0.2131,-0.1718,0.1761
21,03/27/15 08:45:03 PM,-0.4006,0.2058,-0.2793,0.1673
22,03/28/15 12:45:03 AM,-0.3796,0.2037,-0.2757,0.1666
23,03/28/15 04:45:03 AM,-0.3781,0.2022,-0.2626,0.1659
24,03/28/15 08:45:03 AM,-0.3607,0.2218,-0.1958,0.1659
