"Plot Title: LOMULOAR"
"#","Date Time, GMT-06:00","Water Content, m³/m³","Water Content, m³/m³","Water Content, m³/m³"
1,03/03/16 11:06:54 AM,0.1840,0.0693,0.1673
2,03/03/16 03:06:54 PM,0.1899,0.0780,0.1630
3,03/03/16 07:06:54 PM,0.1862,-0.3353,0.1572
4,03/03/16 11:06:54 PM,0.1848,-0.2147,0.1543
5,03/04/16 03:06:54 AM,0.1840,-0.1624,0.1528
6,03/04/16 07:06:54 AM,0.1826,0.0402,0.1521
7,03/04/16 11:06:54 AM,0.1833,0.1078,0.1550
8,03/04/16 03:06:54 PM,0.1819,0.1143,0.1514
9,03/04/16 07:06:54 PM,0.1790,-0.3069,0.1456
10,03/04/16 11:06:54 PM,0.1782,-0.2699,0.1448
11,03/05/16 03:06:54 AM,0.1775,-0.2990,0.1441
12,03/05/16 07:06:54 AM,0.1768,-0.3019,0.1434
13,03/05/16 11:06:54 AM,0.1775,0.1296,0.1456
14,03/05/16 03:06:54 PM,0.1761,0.1267,0.1419
15,03/05/16 07:06:54 PM,0.1732,-0.3142,0.1361
16,03/05/16 11:06:54 PM,0.1724,-0.2924,0.1354
17,03/06/16 03:06:54 AM,0.1717,-0.2735,0.1347
18,03/06/16 07:06:54 AM,0.1717,-0.2321,0.1347
19,03/06/16 11:06:54 AM,0.1724,0.0729,0.1368
20,03/06/16 03:06:54 PM,0.1702,0.0177,0.1310
21,03/06/16 07:06:54 PM,0.1681,-0.2074,0.1274
22,03/06/16 11:06:54 PM,0.1673,-0.2764,0.1267
23,03/07/16 03:06:54 AM,0.1673,-0.2539,0.1267
24,03/07/16 07:06:54 AM,0.1673,-0.2365,0.1267
25,03/07/16 11:06:54 AM,0.1673,-0.0752,0.1267
26,03/07/16 03:06:54 PM,0.1659,-0.0251,0.1230
27,03/07/16 07:06:54 PM,0.1644,-0.1094,0.1201
28,03/07/16 11:06:54 PM,0.1637,-0.2176,0.1194
29,03/08/16 03:06:54 AM,0.1637,-0.1559,0.1201
30,03/08/16 07:06:54 AM,0.1644,-0.1806,0.1201
31,03/08/16 11:06:54 AM,0.1644,-0.2852,0.1201
32,03/08/16 03:06:54 PM,0.1797,0.0032,0.1739
33,03/08/16 07:06:54 PM,0.1906,-0.2118,0.1739
34,03/08/16 11:06:54 PM,0.2661,0.1819,0.2371
35,03/09/16 03:06:54 AM,0.2509,0.2676,0.2189
36,03/09/16 07:06:54 AM,0.2567,0.2683,0.2196
37,03/09/16 11:06:54 AM,0.2647,0.0780,0.2596
38,03/09/16 03:06:54 PM,0.2915,0.1267,0.2915
39,03/09/16 07:06:54 PM,0.2777,0.0032,0.2727
40,03/09/16 11:06:54 PM,0.2959,0.0766,0.2988
41,03/10/16 03:06:54 AM,0.2988,0.0540,0.3024
42,03/10/16 07:06:54 AM,0.2995,0.1020,0.3046
43,03/10/16 11:06:54 AM,0.3017,0.1601,0.3068
44,03/10/16 03:06:54 PM,0.2988,-0.1159,0.2974
45,03/10/16 07:06:54 PM,0.2712,-0.0970,0.2668
46,03/10/16 11:06:54 PM,0.2574,-0.1791,0.2545
47,03/11/16 03:06:54 AM,0.2589,-0.2350,0.2494
48,03/11/16 07:06:54 AM,0.2574,-0.2162,0.2443
49,03/11/16 11:06:54 AM,0.2523,-0.1624,0.2407
50,03/11/16 03:06:54 PM,0.2487,-0.3367,0.2356
51,03/11/16 07:06:54 PM,0.2414,-0.3948,0.2298
52,03/11/16 11:06:54 PM,0.2371,-0.3781,0.2254
53,03/12/16 03:06:54 AM,0.2342,-0.3302,0.2233
54,03/12/16 07:06:54 AM,0.2327,-0.3178,0.2211
55,03/12/16 11:06:54 AM,0.2908,-0.1668,0.2472
56,03/12/16 03:06:54 PM,0.2618,-0.4006,0.2342
57,03/12/16 07:06:54 PM,0.2480,-0.2873,0.2131
58,03/12/16 11:06:54 PM,0.2414,-0.3084,0.2087
59,03/13/16 03:06:54 AM,0.2378,-0.3273,0.2066
60,03/13/16 07:06:54 AM,0.2342,-0.3157,0.2051
61,03/13/16 11:06:54 AM,0.2342,0.0453,0.2080
62,03/13/16 03:06:54 PM,0.2284,0.0373,0.2044
63,03/13/16 07:06:54 PM,0.2233,-0.3694,0.1993
64,03/13/16 11:06:54 PM,0.2211,-0.4006,0.1971
65,03/14/16 03:06:54 AM,0.2196,-0.4006,0.1957
66,03/14/16 07:06:54 AM,0.2182,-0.4006,0.1949
67,03/14/16 11:06:54 AM,0.2189,0.1150,0.1986
68,03/14/16 03:06:54 PM,0.2146,0.1172,0.1935
69,03/14/16 07:06:54 PM,0.2102,-0.3832,0.1884
70,03/14/16 11:06:54 PM,0.2095,-0.4006,0.1877
71,03/15/16 03:06:54 AM,0.2095,-0.3520,0.1870
72,03/15/16 07:06:54 AM,0.2087,-0.3447,0.1877
73,03/15/16 11:06:54 AM,0.2087,0.1288,0.1899
74,03/15/16 03:06:54 PM,0.2058,0.1245,0.1848
75,03/15/16 07:06:54 PM,0.2029,-0.3360,0.1811
76,03/15/16 11:06:54 PM,0.2015,-0.3556,0.1804
77,03/16/16 03:06:54 AM,0.2008,-0.3353,0.1782
78,03/16/16 07:06:54 AM,0.1993,-0.2910,0.1775
79,03/16/16 11:06:54 AM,0.2000,0.0388,0.1811
80,03/16/16 03:06:54 PM,0.1971,0.1361,0.1775
81,03/16/16 07:06:54 PM,0.1935,-0.3149,0.1717
82,03/16/16 11:06:54 PM,0.1928,-0.3207,0.1717
83,03/17/16 03:06:54 AM,0.1928,-0.1450,0.1710
84,03/17/16 07:06:54 AM,0.1928,-0.1406,0.1717
85,03/17/16 11:06:54 AM,0.1935,0.0642,0.1739
86,03/17/16 03:06:54 PM,0.1920,0.0751,0.1717
87,03/17/16 07:06:54 PM,0.1891,-0.2830,0.1681
88,03/17/16 11:06:54 PM,0.1884,-0.3077,0.1673
89,03/18/16 03:06:54 AM,0.1884,-0.3128,0.1673
90,03/18/16 07:06:54 AM,0.1884,-0.3215,0.1673
91,03/18/16 11:06:54 AM,0.1891,0.0214,0.1681
92,03/18/16 03:06:54 PM,0.1877,0.1216,0.1673
93,03/18/16 07:06:54 PM,0.1862,-0.3120,0.1652
94,03/18/16 11:06:54 PM,0.1855,-0.3135,0.1644
95,03/19/16 03:06:54 AM,0.1848,-0.3186,0.1630
96,03/19/16 07:06:54 AM,0.1840,-0.3186,0.1630
97,03/19/16 11:06:54 AM,0.1833,-0.0179,0.1644
98,03/19/16 03:06:54 PM,0.1811,0.0540,0.1615
99,03/19/16 07:06:54 PM,0.1782,-0.3396,0.1564
100,03/19/16 11:06:54 PM,0.1775,-0.2278,0.1550
101,03/20/16 03:06:54 AM,0.1761,-0.2525,0.1528
102,03/20/16 07:06:54 AM,0.1753,-0.1653,0.1521
103,03/20/16 11:06:54 AM,0.1753,0.0904,0.1557
104,03/20/16 03:06:54 PM,0.1724,0.0904,0.1506
105,03/20/16 07:06:54 PM,0.1688,-0.3273,0.1456
