Run,Date,LOAR38.control,LOMU37.control,LOAR53.water,LOMU52.water
1,8/6/2014 14:45,0.086,0.1361,0.1528,0.0976
2,8/6/2014 18:45,0.0802,0.1303,0.1412,0.0853
3,8/6/2014 22:45,0.0802,0.1281,0.139,0.0838
4,8/7/2014 2:45,0.0795,0.1267,0.1383,0.0838
5,8/7/2014 6:45,0.0787,0.1259,0.1376,0.0838
6,8/7/2014 10:45,0.0773,0.1245,0.1354,0.0809
7,8/7/2014 14:45,0.0693,0.1194,0.1281,0.0671
8,8/7/2014 18:45,0.0635,0.1129,0.1194,0.054
9,8/7/2014 22:45,0.0642,0.1107,0.1165,0.0526
10,8/8/2014 2:45,0.0649,0.1092,0.1158,0.0526
11,8/8/2014 6:45,0.0635,0.1092,0.115,0.0526
12,8/8/2014 10:45,0.0606,0.1078,0.1129,0.0497
13,8/8/2014 14:45,0.0511,0.1005,0.1049,0.0431
14,8/8/2014 18:45,0.0446,0.0933,0.0954,0.0359
15,8/8/2014 22:45,0.046,0.0911,0.0925,0.0352
16,8/9/2014 2:45,0.046,0.0904,0.0911,0.0344
17,8/9/2014 6:45,0.046,0.0896,0.0911,0.0344
18,8/9/2014 10:45,0.0446,0.0889,0.0904,0.0344
19,8/9/2014 14:45,0.0344,0.0831,0.0831,0.0337
20,8/9/2014 18:45,0.0279,0.0758,0.0758,0.0293
21,8/9/2014 22:45,0.0286,0.0744,0.0736,0.0279
22,8/10/2014 2:45,0.0293,0.0729,0.0729,0.0286
23,8/10/2014 6:45,0.0301,0.0729,0.0729,0.0286
24,8/10/2014 10:45,0.0264,0.0715,0.0722,0.0279
25,8/10/2014 14:45,0.0148,0.0649,0.0678,0.0286
26,8/10/2014 18:45,0.0105,0.0584,0.062,0.0257
27,8/10/2014 22:45,0.0119,0.0569,0.0606,0.0243
28,8/11/2014 2:45,0.0126,0.0555,0.0598,0.0235
29,8/11/2014 6:45,0.0126,0.0555,0.0591,0.0243
30,8/11/2014 10:45,0.0105,0.054,0.0598,0.0235
31,8/11/2014 14:45,0.0032,0.049,0.0569,0.025
32,8/11/2014 18:45,0.1347,0.1637,0.1586,0.1209
33,8/11/2014 22:45,0.1245,0.1615,0.1543,0.1296
34,8/12/2014 2:45,0.1165,0.1586,0.1521,0.1303
35,8/12/2014 6:45,0.1129,0.1564,0.1506,0.1318
36,8/12/2014 10:45,0.1092,0.1557,0.1485,0.1318
37,8/12/2014 14:45,0.102,0.1506,0.1419,0.1201
38,8/12/2014 18:45,0.0954,0.1434,0.1318,0.1049
39,8/12/2014 22:45,0.0933,0.139,0.1288,0.1034
40,8/13/2014 2:45,0.0911,0.1368,0.1267,0.1027
41,8/13/2014 6:45,0.0882,0.1347,0.1252,0.1027
42,8/13/2014 10:45,0.0845,0.1332,0.1223,0.0983
43,8/13/2014 14:45,0.0773,0.1267,0.1143,0.0816
44,8/13/2014 18:45,0.0715,0.1194,0.1034,0.0678
45,8/13/2014 22:45,0.0707,0.1165,0.1012,0.0671
46,8/14/2014 2:45,0.0693,0.1143,0.0991,0.0671
47,8/14/2014 6:45,0.0671,0.1129,0.0976,0.0657
48,8/14/2014 10:45,0.0649,0.1107,0.0947,0.062
49,8/14/2014 14:45,0.0548,0.1034,0.086,0.0482
50,8/14/2014 18:45,0.0475,0.0962,0.0773,0.0366
51,8/14/2014 22:45,0.0482,0.094,0.0751,0.0359
52,8/15/2014 2:45,0.0482,0.0918,0.0736,0.0352
53,8/15/2014 6:45,0.0468,0.0911,0.0729,0.0352
54,8/15/2014 10:45,0.0439,0.0889,0.07,0.0337
55,8/15/2014 14:45,0.033,0.0816,0.0649,0.0293
56,8/15/2014 18:45,0.0264,0.0751,0.0598,0.0257
57,8/15/2014 22:45,0.0272,0.0729,0.0569,0.0257
58,8/16/2014 2:45,0.0272,0.0722,0.0569,0.0257
59,8/16/2014 6:45,0.0279,0.0715,0.0562,0.025
60,8/16/2014 10:45,0.025,0.07,0.0562,0.025
61,8/16/2014 14:45,0.0134,0.0613,0.054,0.0264
62,8/16/2014 18:45,0.009,0.0548,0.0504,0.0228
63,8/16/2014 22:45,0.0097,0.054,0.049,0.0214
64,8/17/2014 2:45,0.0097,0.0526,0.0482,0.0214
65,8/17/2014 6:45,0.0105,0.0519,0.0482,0.0221
66,8/17/2014 10:45,0.0083,0.0511,0.049,0.0214
67,8/17/2014 14:45,0.001,0.0439,0.0475,0.0228
68,8/17/2014 18:45,-0.0012,0.041,0.046,0.0199
69,8/17/2014 22:45,-0.0012,0.0402,0.0446,0.0199
70,8/18/2014 2:45,-0.0004,0.0402,0.0446,0.0199
71,8/18/2014 6:45,-0.0004,0.0402,0.0439,0.0199
72,8/18/2014 10:45,-0.0004,0.0395,0.0446,0.0199
73,8/18/2014 14:45,-0.0055,0.0352,0.0446,0.0221
74,8/18/2014 18:45,-0.0077,0.0315,0.0424,0.0192
75,8/18/2014 22:45,-0.0084,0.0315,0.041,0.0184
76,8/19/2014 2:45,-0.0084,0.0322,0.0402,0.0184
77,8/19/2014 6:45,-0.0084,0.0322,0.0402,0.017
78,8/19/2014 10:45,-0.0084,0.0308,0.041,0.0177
79,8/19/2014 14:45,-0.0106,0.0272,0.0424,0.0206
80,8/19/2014 18:45,-0.0121,0.025,0.0388,0.0184
81,8/19/2014 22:45,-0.0099,0.0301,0.041,0.0221
82,8/20/2014 2:45,-0.0092,0.0308,0.0417,0.0243
83,8/20/2014 6:45,-0.0084,0.0308,0.0417,0.0243
84,8/20/2014 10:45,-0.0062,0.0315,0.0431,0.0264
85,8/20/2014 14:45,-0.0077,0.0301,0.0439,0.0264
86,8/20/2014 18:45,-0.0084,0.0279,0.0424,0.025
87,8/20/2014 22:45,-0.0092,0.0301,0.0417,0.0257
88,8/21/2014 2:45,-0.0084,0.0301,0.0417,0.025
89,8/21/2014 6:45,-0.0077,0.0301,0.0424,0.0257
90,8/21/2014 10:45,-0.0062,0.0308,0.0424,0.0264
91,8/21/2014 14:45,-0.0092,0.0272,0.0424,0.025
92,8/21/2014 18:45,-0.0106,0.0243,0.041,0.0235
93,8/21/2014 22:45,-0.0106,0.0257,0.0395,0.0235
94,8/22/2014 2:45,-0.0113,0.0264,0.0395,0.0228
95,8/22/2014 6:45,-0.0113,0.0264,0.0395,0.0235
96,8/22/2014 10:45,-0.0113,0.0257,0.0402,0.0235
97,8/22/2014 14:45,-0.0121,0.0235,0.0402,0.025
98,8/22/2014 18:45,-0.0135,0.0214,0.0395,0.0228
99,8/22/2014 22:45,-0.0142,0.0214,0.0373,0.0221
100,8/23/2014 2:45,-0.0142,0.0221,0.0366,0.0206
101,8/23/2014 6:45,-0.0142,0.0228,0.0366,0.0214
102,8/23/2014 10:45,-0.0142,0.0214,0.0373,0.0228
103,8/23/2014 14:45,-0.0142,0.0199,0.0388,0.0243
104,8/23/2014 18:45,-0.0157,0.0184,0.0366,0.0221
105,8/23/2014 22:45,-0.0164,0.0177,0.0352,0.0214
106,8/24/2014 2:45,-0.0171,0.0184,0.0344,0.0214
107,8/24/2014 6:45,-0.0171,0.0192,0.0344,0.0206
108,8/24/2014 10:45,-0.0164,0.0184,0.0352,0.0221
109,8/24/2014 14:45,-0.0164,0.0177,0.0366,0.0243
110,8/24/2014 18:45,-0.0171,0.0155,0.0344,0.0221
111,8/24/2014 22:45,-0.0186,0.0148,0.0322,0.0206
112,8/25/2014 2:45,-0.0193,0.0148,0.0322,0.0199
113,8/25/2014 6:45,-0.0193,0.0155,0.0315,0.0192
114,8/25/2014 10:45,-0.0186,0.0155,0.033,0.0199
115,8/25/2014 14:45,-0.0179,0.0148,0.0344,0.0235
116,8/25/2014 18:45,-0.0186,0.0141,0.033,0.0214
117,8/25/2014 22:45,-0.02,0.0126,0.0315,0.0199
118,8/26/2014 2:45,-0.0208,0.0119,0.0301,0.0192
119,8/26/2014 6:45,-0.0208,0.0119,0.0293,0.0177
120,8/26/2014 10:45,-0.02,0.0126,0.0315,0.0192
121,8/26/2014 14:45,-0.0193,0.0126,0.0308,0.0214
122,8/26/2014 18:45,-0.02,0.0112,0.0308,0.0199
123,8/26/2014 22:45,-0.0215,0.0097,0.0286,0.0192
124,8/27/2014 2:45,-0.0222,0.0097,0.0286,0.017
125,8/27/2014 6:45,-0.023,0.0097,0.0279,0.0163
126,8/27/2014 10:45,-0.0215,0.0105,0.0286,0.0184
127,8/27/2014 14:45,-0.02,0.0112,0.0308,0.0221
128,8/27/2014 18:45,-0.0215,0.0097,0.0293,0.0192
129,8/27/2014 22:45,-0.0222,0.0083,0.0272,0.0177
130,8/28/2014 2:45,-0.0237,0.0076,0.0264,0.0163
131,8/28/2014 6:45,-0.0237,0.0076,0.0264,0.0155
132,8/28/2014 10:45,-0.023,0.0083,0.0279,0.017
133,8/28/2014 14:45,-0.0215,0.0097,0.0293,0.0206
134,8/28/2014 18:45,-0.0222,0.0083,0.0279,0.0184
135,8/28/2014 22:45,-0.0237,0.0068,0.0257,0.017
136,8/29/2014 2:45,-0.0244,0.0061,0.0257,0.0155
137,8/29/2014 6:45,-0.0251,0.0061,0.025,0.0148
138,8/29/2014 10:45,-0.0237,0.0068,0.0272,0.0177
139,8/29/2014 14:45,-0.0222,0.0083,0.0286,0.0199
140,8/29/2014 18:45,-0.0237,0.0068,0.0264,0.017
141,8/29/2014 22:45,-0.0244,0.0054,0.025,0.0163
142,8/30/2014 2:45,-0.0251,0.0046,0.0243,0.0155
143,8/30/2014 6:45,-0.0251,0.0046,0.0243,0.0148
144,8/30/2014 10:45,-0.0244,0.0046,0.0243,0.0155
145,8/30/2014 14:45,-0.0237,0.0054,0.0264,0.017
146,8/30/2014 18:45,-0.0244,0.0054,0.0257,0.0163
147,8/30/2014 22:45,-0.0251,0.0046,0.0243,0.0155
148,8/31/2014 2:45,-0.0259,0.0039,0.0235,0.0148
149,8/31/2014 6:45,-0.0259,0.0032,0.0235,0.0148
150,8/31/2014 10:45,-0.0251,0.0039,0.0243,0.0155
151,8/31/2014 14:45,-0.0244,0.0054,0.0257,0.017
152,8/31/2014 18:45,-0.0251,0.0046,0.025,0.0155
153,8/31/2014 22:45,-0.0259,0.0032,0.0235,0.0148
154,9/1/2014 2:45,-0.0259,0.0032,0.0235,0.0148
155,9/1/2014 6:45,-0.0259,0.0032,0.0235,0.0148
156,9/1/2014 10:45,-0.0251,0.0039,0.025,0.0163
157,9/1/2014 14:45,-0.0244,0.0054,0.0257,0.0184
158,9/1/2014 18:45,-0.0251,0.0046,0.025,0.0163
159,9/1/2014 22:45,-0.0259,0.0032,0.0235,0.0155
160,9/2/2014 2:45,-0.0259,0.0025,0.0235,0.0148
161,9/2/2014 6:45,-0.0259,0.0025,0.0228,0.0148
162,9/2/2014 10:45,-0.0259,0.0032,0.0235,0.0155
163,9/2/2014 14:45,0.0076,0.0649,0.1586,0.0475
164,9/2/2014 18:45,0.0352,0.0802,0.1419,0.0671
165,9/2/2014 22:45,0.0395,0.086,0.1347,0.0722
166,9/3/2014 2:45,0.0431,0.0904,0.1303,0.0744
167,9/3/2014 6:45,0.0468,0.0925,0.1274,0.0758
168,9/3/2014 10:45,0.049,0.094,0.1252,0.0773
169,9/3/2014 14:45,0.0453,0.0918,0.1172,0.0707
170,9/3/2014 18:45,0.0424,0.0882,0.1078,0.0613
171,9/3/2014 22:45,0.0424,0.0867,0.1042,0.0606
172,9/4/2014 2:45,0.041,0.0853,0.1012,0.0606
173,9/4/2014 6:45,0.0402,0.0845,0.0998,0.0598
174,9/4/2014 10:45,0.0402,0.0845,0.0969,0.0584
175,9/4/2014 14:45,0.0322,0.0802,0.0882,0.049
176,9/4/2014 18:45,0.0272,0.0744,0.0795,0.0388
177,9/4/2014 22:45,0.0272,0.0722,0.0766,0.0381
178,9/5/2014 2:45,0.0264,0.0722,0.0751,0.0373
179,9/5/2014 6:45,0.0264,0.0707,0.0736,0.0366
180,9/5/2014 10:45,0.0243,0.0693,0.0707,0.0359
181,9/5/2014 14:45,0.0134,0.0642,0.0628,0.0315
182,9/5/2014 18:45,0.0068,0.0577,0.0555,0.0264
183,9/5/2014 22:45,0.0068,0.0555,0.0526,0.0257
184,9/6/2014 2:45,0.0068,0.0555,0.0511,0.0243
185,9/6/2014 6:45,0.0083,0.0548,0.0504,0.0235
186,9/6/2014 10:45,0.0054,0.0526,0.0497,0.025
187,9/6/2014 14:45,-0.0026,0.0475,0.0453,0.0257
188,9/6/2014 18:45,-0.0077,0.0417,0.0417,0.0235
189,9/6/2014 22:45,-0.0077,0.0395,0.0395,0.0214
190,9/7/2014 2:45,-0.0084,0.0388,0.0388,0.0214
191,9/7/2014 6:45,-0.0077,0.0381,0.0388,0.0206
192,9/7/2014 10:45,-0.0077,0.0373,0.0388,0.0214
193,9/7/2014 14:45,-0.0121,0.0337,0.0381,0.0228
194,9/7/2014 18:45,-0.0135,0.0308,0.0359,0.0206
195,9/7/2014 22:45,-0.0142,0.0301,0.0352,0.0199
196,9/8/2014 2:45,-0.0142,0.0293,0.0337,0.0177
197,9/8/2014 6:45,-0.0135,0.0293,0.0337,0.0184
198,9/8/2014 10:45,-0.015,0.0286,0.0344,0.0192
199,9/8/2014 14:45,-0.0164,0.0264,0.0344,0.0221
200,9/8/2014 18:45,-0.0171,0.0235,0.033,0.0199
201,9/8/2014 22:45,-0.0179,0.0221,0.0315,0.0184
202,9/9/2014 2:45,-0.0186,0.0214,0.0308,0.017
203,9/9/2014 6:45,-0.0186,0.0206,0.0308,0.0163
204,9/9/2014 10:45,-0.0179,0.0206,0.0308,0.0184
205,9/9/2014 14:45,-0.0179,0.0199,0.0315,0.0199
206,9/9/2014 18:45,-0.0186,0.0177,0.0315,0.0184
207,9/9/2014 22:45,-0.02,0.017,0.0301,0.0177
208,9/10/2014 2:45,-0.02,0.0163,0.0293,0.0163
209,9/10/2014 6:45,-0.0208,0.0163,0.0293,0.0163
210,9/10/2014 10:45,-0.02,0.0163,0.0301,0.017
211,9/10/2014 14:45,-0.02,0.017,0.0308,0.0192
212,9/10/2014 18:45,-0.02,0.0155,0.0301,0.0184
213,9/10/2014 22:45,-0.0208,0.0141,0.0286,0.017
214,9/11/2014 2:45,-0.0222,0.0134,0.0286,0.0163
215,9/11/2014 6:45,-0.023,0.0126,0.0279,0.0155
216,9/11/2014 10:45,-0.0215,0.0134,0.0286,0.0163
217,9/11/2014 14:45,-0.0208,0.0148,0.0301,0.0199
218,9/11/2014 18:45,-0.0215,0.0134,0.0286,0.017
219,9/11/2014 22:45,-0.023,0.0119,0.0272,0.0155
220,9/12/2014 2:45,-0.0237,0.0112,0.0264,0.0148
221,9/12/2014 6:45,-0.0244,0.0105,0.0264,0.0134
222,9/12/2014 10:45,-0.023,0.0112,0.0279,0.0148
223,9/12/2014 14:45,-0.0244,0.0141,0.0286,0.0184
224,9/12/2014 18:45,0.1463,0.2225,0.2218,0.2262
225,9/12/2014 22:45,0.1586,0.2291,0.2305,0.2218
226,9/13/2014 2:45,0.1412,0.2087,0.2167,0.2051
227,9/13/2014 6:45,0.1339,0.1971,0.2095,0.1971
228,9/13/2014 10:45,0.1288,0.1899,0.2051,0.1913
229,9/13/2014 14:45,0.1245,0.1848,0.2015,0.1877
230,9/13/2014 18:45,0.1209,0.1804,0.1978,0.1833
231,9/13/2014 22:45,0.1187,0.1775,0.1957,0.1811
232,9/14/2014 2:45,0.1165,0.1746,0.1935,0.1782
233,9/14/2014 6:45,0.115,0.1724,0.192,0.1768
234,9/14/2014 10:45,0.1129,0.171,0.1899,0.1753
235,9/14/2014 14:45,0.1107,0.1688,0.1891,0.1724
236,9/14/2014 18:45,0.1078,0.1644,0.1848,0.1673
237,9/14/2014 22:45,0.1056,0.1623,0.1826,0.1644
238,9/15/2014 2:45,0.1049,0.1608,0.1819,0.1637
239,9/15/2014 6:45,0.1042,0.1594,0.1811,0.1623
240,9/15/2014 10:45,0.1034,0.1586,0.1804,0.1615
241,9/15/2014 14:45,0.102,0.1579,0.179,0.1579
242,9/15/2014 18:45,0.1005,0.1557,0.1768,0.155
243,9/15/2014 22:45,0.0991,0.1543,0.1761,0.1543
244,9/16/2014 2:45,0.0983,0.1535,0.1753,0.1535
245,9/16/2014 6:45,0.0976,0.1521,0.1746,0.1521
246,9/16/2014 10:45,0.0969,0.1521,0.1739,0.1499
247,9/16/2014 14:45,0.0947,0.1485,0.171,0.1426
248,9/16/2014 18:45,0.0918,0.1441,0.1666,0.1368
249,9/16/2014 22:45,0.0904,0.1419,0.1652,0.1354
250,9/17/2014 2:45,0.0896,0.1397,0.1637,0.1347
251,9/17/2014 6:45,0.0889,0.139,0.163,0.1339
252,9/17/2014 10:45,0.0882,0.1383,0.163,0.1318
253,9/17/2014 14:45,0.0853,0.1354,0.1594,0.1245
254,9/17/2014 18:45,0.0824,0.1318,0.1535,0.1143
255,9/17/2014 22:45,0.0816,0.1296,0.1521,0.1143
256,9/18/2014 2:45,0.0809,0.1281,0.1514,0.1143
257,9/18/2014 6:45,0.0802,0.1274,0.1506,0.1143
258,9/18/2014 10:45,0.0802,0.1267,0.1492,0.1121
259,9/18/2014 14:45,0.0773,0.1238,0.1463,0.1056
260,9/18/2014 18:45,0.0824,0.1252,0.1477,0.1078
261,9/18/2014 22:45,0.0831,0.1267,0.1477,0.1071
262,9/19/2014 2:45,0.0831,0.1274,0.1477,0.1071
263,9/19/2014 6:45,0.0816,0.1274,0.1477,0.1063
264,9/19/2014 10:45,0.0816,0.1274,0.147,0.1071
265,9/19/2014 14:45,0.0787,0.1252,0.1441,0.0998
266,9/19/2014 18:45,0.0758,0.1216,0.1376,0.0925
267,9/19/2014 22:45,0.0744,0.1209,0.1361,0.0918
268,9/20/2014 2:45,0.0744,0.1201,0.1354,0.0918
269,9/20/2014 6:45,0.0736,0.1187,0.1347,0.0911
270,9/20/2014 10:45,0.0715,0.1172,0.1332,0.0896
271,9/20/2014 14:45,0.0657,0.1121,0.1274,0.0795
272,9/20/2014 18:45,0.062,0.1071,0.1201,0.07
273,9/20/2014 22:45,0.062,0.1063,0.1187,0.07
274,9/21/2014 2:45,0.062,0.1056,0.1172,0.0707
275,9/21/2014 6:45,0.0613,0.1049,0.1165,0.07
276,9/21/2014 10:45,0.0584,0.1034,0.115,0.0686
277,9/21/2014 14:45,0.0511,0.0962,0.1085,0.0591
278,9/21/2014 18:45,0.0482,0.0911,0.102,0.0526
279,9/21/2014 22:45,0.049,0.0911,0.0991,0.0519
280,9/22/2014 2:45,0.0497,0.0911,0.0991,0.0519
281,9/22/2014 6:45,0.049,0.0911,0.0983,0.0519
282,9/22/2014 10:45,0.0453,0.0874,0.0954,0.0497
283,9/22/2014 14:45,0.0359,0.0802,0.0889,0.0453
284,9/22/2014 18:45,0.0315,0.0744,0.0824,0.0402
285,9/22/2014 22:45,0.0337,0.0751,0.0809,0.0381
286,9/23/2014 2:45,0.0344,0.0744,0.0795,0.0373
287,9/23/2014 6:45,0.033,0.0744,0.0795,0.0373
288,9/23/2014 10:45,0.0308,0.0722,0.0773,0.0366
289,9/23/2014 14:45,0.0221,0.0657,0.0729,0.0366
290,9/23/2014 18:45,0.0184,0.0613,0.0678,0.033
291,9/23/2014 22:45,0.0206,0.0628,0.0671,0.0315
292,9/24/2014 2:45,0.0214,0.0628,0.0671,0.0308
293,9/24/2014 6:45,0.0214,0.0628,0.0664,0.0308
294,9/24/2014 10:45,0.0192,0.0606,0.0657,0.0315
295,9/24/2014 14:45,0.0105,0.0533,0.062,0.033
296,9/24/2014 18:45,0.0083,0.0482,0.0584,0.0301
297,9/24/2014 22:45,0.0097,0.049,0.0569,0.0279
298,9/25/2014 2:45,0.0112,0.0497,0.0562,0.0272
299,9/25/2014 6:45,0.0112,0.0504,0.0562,0.0264
300,9/25/2014 10:45,0.0083,0.0475,0.0555,0.0279
301,9/25/2014 14:45,0.0025,0.0417,0.0533,0.0293
302,9/25/2014 18:45,0.001,0.0395,0.0504,0.0264
303,9/25/2014 22:45,0.0025,0.0402,0.0504,0.0257
304,9/26/2014 2:45,0.0032,0.0402,0.0497,0.025
305,9/26/2014 6:45,0.0046,0.041,0.0497,0.0243
306,9/26/2014 10:45,0.001,0.0395,0.049,0.0257
307,9/26/2014 14:45,-0.0041,0.0344,0.0475,0.0264
308,9/26/2014 18:45,-0.0048,0.0322,0.0446,0.025
309,9/26/2014 22:45,-0.0041,0.0322,0.0446,0.0228
310,9/27/2014 2:45,-0.0026,0.033,0.0439,0.0221
311,9/27/2014 6:45,-0.0019,0.0337,0.0439,0.0214
312,9/27/2014 10:45,-0.0033,0.033,0.0431,0.0228
313,9/27/2014 14:45,-0.0077,0.0293,0.0431,0.0243
314,9/27/2014 18:45,-0.0084,0.0279,0.041,0.0228
315,9/27/2014 22:45,-0.0077,0.0279,0.0402,0.0214
316,9/28/2014 2:45,-0.0077,0.0286,0.0402,0.0206
317,9/28/2014 6:45,-0.007,0.0286,0.0402,0.0206
318,9/28/2014 10:45,-0.0077,0.0286,0.0395,0.0214
319,9/28/2014 14:45,-0.0106,0.0264,0.0402,0.0221
320,9/28/2014 18:45,-0.0106,0.025,0.0381,0.0214
321,9/28/2014 22:45,-0.0106,0.025,0.0373,0.0199
322,9/29/2014 2:45,-0.0106,0.025,0.0373,0.0184
323,9/29/2014 6:45,-0.0099,0.025,0.0366,0.0184
324,9/29/2014 10:45,-0.0106,0.025,0.0366,0.0192
325,9/29/2014 14:45,-0.0121,0.0235,0.0373,0.0214
326,9/29/2014 18:45,-0.0135,0.0221,0.0359,0.0206
327,9/29/2014 22:45,-0.0135,0.0221,0.0359,0.0184
328,9/30/2014 2:45,-0.0128,0.0221,0.0352,0.0184
329,9/30/2014 6:45,-0.0121,0.0221,0.0352,0.0177
330,9/30/2014 10:45,-0.0135,0.0221,0.0359,0.0192
331,9/30/2014 14:45,-0.015,0.0206,0.0359,0.0206
332,9/30/2014 18:45,-0.015,0.0199,0.0352,0.0192
333,9/30/2014 22:45,-0.0157,0.0199,0.0344,0.0177
334,10/1/2014 2:45,-0.015,0.0199,0.0337,0.017
335,10/1/2014 6:45,-0.015,0.0206,0.0337,0.0184
336,10/1/2014 10:45,-0.015,0.0206,0.0337,0.0184
337,10/1/2014 14:45,-0.0157,0.0192,0.0352,0.0199
338,10/1/2014 18:45,-0.0157,0.0184,0.0344,0.0192
339,10/1/2014 22:45,-0.0157,0.0184,0.033,0.0184
340,10/2/2014 2:45,-0.0157,0.0184,0.033,0.0184
341,10/2/2014 6:45,-0.0157,0.0192,0.033,0.0184
342,10/2/2014 10:45,-0.015,0.0192,0.0337,0.0184
