Month,Day,Year,Target_precip,Actual_precip
January,1,2013,6.006666667,4.71
February,1,2013,5.032222222,2.89
March,1,2013,3.852222222,3.8
April,1,2013,7.368888889,1.56
May,1,2013,5.738888889,2.43
June,1,2013,8.132222222,3.54
July,1,2013,2.796666667,2.68
August,1,2013,4.194444444,0.96
September,1,2013,4.756666667,3.25
October,1,2013,5.691111111,5.8
November,1,2013,9.98,4.44
December,1,2013,6.478888889,2.72
January,1,2014,6.006666667,1.26
February,1,2014,5.032222222,1.7
March,1,2014,3.852222222,3.45
April,1,2014,7.368888889,2.9
May,1,2014,5.738888889,9.5
June,1,2014,8.132222222,4
July,1,2014,2.796666667,5.9
August,1,2014,4.194444444,0.9
September,1,2014,4.756666667,1.9
October,1,2014,5.691111111,2.5
November,1,2014,9.98,5.1
December,1,2014,6.478888889,2.4
January,1,2015,6.006666667,7.2
February,1,2015,5.032222222,1.5
March,1,2015,3.852222222,8.3
April,1,2015,7.368888889,12.2
May,1,2015,5.738888889,13.4
June,1,2015,8.132222222,5.85
July,1,2015,2.796666667,0.75
August,1,2015,4.194444444,0.3
September,1,2015,4.756666667,0.8
October,1,2015,5.691111111,6
November,1,2015,9.98,14.3
December,1,2015,6.478888889,2.6
January,1,2016,6.006666667,2.3
February,1,2016,5.032222222,2.5
March,1,2016,3.852222222,9.2
April,1,2016,7.368888889,5.45
May,1,2016,5.738888889,
June,1,2016,8.132222222,
July,1,2016,2.796666667,
August,1,2016,4.194444444,
September,1,2016,4.756666667,
October,1,2016,5.691111111,
November,1,2016,9.98,
December,1,2016,6.478888889,
